iter	Logloss
0	0.6524697358
1	0.6186321398
2	0.5901552772
3	0.5645585351
4	0.5422454999
5	0.5190539159
6	0.501250375
7	0.4821287925
8	0.4681820445
9	0.4544486326
10	0.4441804438
11	0.4355818248
12	0.4207826024
13	0.4139220669
14	0.406921623
15	0.3998586988
16	0.3909449338
17	0.3838418763
18	0.3773319089
19	0.3688687115
20	0.3640093146
21	0.3608854009
22	0.3568210522
23	0.3547960987
24	0.3493681621
25	0.348146104
26	0.3434561249
27	0.3385396232
28	0.3335409313
29	0.3305201156
30	0.3288912095
31	0.3263659805
32	0.3256454227
33	0.3232236746
34	0.3190085966
35	0.3167342157
36	0.3147350909
37	0.3114467316
38	0.3089343855
39	0.3087704842
40	0.3070993903
41	0.3051016431
42	0.3019362172
43	0.2999316296
44	0.2973905842
45	0.2958282177
46	0.2923354744
47	0.2906756478
48	0.2896891476
49	0.2868674253
50	0.2858958288
51	0.284286193
52	0.2832417198
53	0.2809167506
54	0.2806153132
55	0.278020988
56	0.2779208098
57	0.2778251053
58	0.2760629562
59	0.2745782915
60	0.2742002188
61	0.2730110064
62	0.2721587143
63	0.2708662939
64	0.2693398961
65	0.2676221125
66	0.2666512306
67	0.2654115584
68	0.2642458657
69	0.2633580249
70	0.2633258009
71	0.2619242055
72	0.2603637752
73	0.2591868281
74	0.257845184
75	0.2556966449
76	0.2548109279
77	0.2537884268
78	0.2529980813
79	0.252408547
80	0.2503346588
81	0.2486492797
82	0.2485812631
83	0.2473771003
84	0.2455828809
85	0.2439376209
86	0.2420959569
87	0.2404586042
88	0.2399345665
89	0.2389536185
90	0.2379557389
91	0.2377730765
92	0.2372086705
93	0.2372023728
94	0.2371966861
95	0.2364974603
96	0.2349198057
97	0.2345630046
98	0.2332447365
99	0.231863463
100	0.231104671
101	0.2292102827
102	0.2279362599
103	0.2268046775
104	0.2262842437
105	0.2257158556
106	0.2245503776
107	0.2243814161
108	0.2230593833
109	0.2226444545
110	0.221740168
111	0.2201318631
112	0.2191682816
113	0.2179391759
114	0.2171726651
115	0.2170746993
116	0.2162846736
117	0.2148248809
118	0.2148191579
119	0.2144557487
120	0.2144015051
121	0.2134366199
122	0.2130805231
123	0.2130465365
124	0.2118093873
125	0.2118055219
126	0.2104993839
127	0.2098215782
128	0.209641875
129	0.2093090478
130	0.2090360725
131	0.207138687
132	0.2060194437
133	0.2045641659
134	0.2041936348
135	0.2028876274
136	0.2028628036
137	0.200972164
138	0.2003436985
139	0.1995138483
140	0.1989866184
141	0.1977559893
142	0.1969672286
143	0.1954515928
144	0.1947059994
145	0.1946516524
146	0.1945857361
147	0.1938143816
148	0.1929371624
149	0.1925820521
150	0.1915048046
151	0.1904252106
152	0.1896246692
153	0.1887846383
154	0.1876850865
155	0.1872702986
156	0.1863049455
157	0.1854861005
158	0.183811662
159	0.1836567391
160	0.1826552753
161	0.1810744426
162	0.1806343091
163	0.1796086711
164	0.1782418673
165	0.1765498724
166	0.1756080545
167	0.1748318332
168	0.1744764195
169	0.1739877531
170	0.173619039
171	0.1729281953
172	0.1724738688
173	0.1714116554
174	0.1712751567
175	0.1702096592
176	0.169679565
177	0.1691854484
178	0.1684213237
179	0.1683067155
180	0.1675593492
181	0.1669131455
182	0.1665440988
183	0.1661368047
184	0.1651412598
185	0.16480695
186	0.1645139271
187	0.1635461436
188	0.1626742967
189	0.1620087253
190	0.1616420424
191	0.161162708
192	0.1602402362
193	0.1596392531
194	0.1595964341
195	0.1589226435
196	0.1585963698
197	0.1582261767
198	0.1580725835
199	0.1567615891
200	0.1564828144
201	0.155823983
202	0.1551978484
203	0.1545700878
204	0.1534825598
205	0.1529257507
206	0.1523163818
207	0.1520744455
208	0.1517829749
209	0.1507228459
210	0.1497337615
211	0.1490389828
212	0.1486820119
213	0.1481964077
214	0.1474924928
215	0.1468265628
216	0.1463562757
217	0.1461680671
218	0.144984431
219	0.1443153512
220	0.1436318541
221	0.1427512265
222	0.1420947873
223	0.1417078306
224	0.141031911
225	0.1402094446
226	0.1389393841
227	0.1382330533
228	0.1376198058
229	0.1369497231
230	0.136472968
231	0.1357453637
232	0.1350730229
233	0.1343792716
234	0.1335406258
235	0.1332231082
236	0.1328145944
237	0.13215541
238	0.1314018886
239	0.1308555996
240	0.1303932318
241	0.1297668599
242	0.1295013533
243	0.1289887978
244	0.1289512656
245	0.1285748578
246	0.1282518542
247	0.1275563737
248	0.127143535
249	0.1269810006
250	0.1266690744
251	0.1262136988
252	0.1258038183
253	0.125339416
254	0.1250483696
255	0.1248527442
256	0.1247475692
257	0.1246520694
258	0.1241834439
259	0.1239161853
260	0.1238947475
261	0.1233516886
262	0.1227808217
263	0.1220110677
264	0.1215318103
265	0.1214299269
266	0.1212707123
267	0.1210445512
268	0.1208581848
269	0.1203830051
270	0.1202083211
271	0.1197307736
272	0.1195639561
273	0.119367215
274	0.1187261515
275	0.1185931935
276	0.1182418754
277	0.1181584447
278	0.1179049429
279	0.1171433576
280	0.1165899457
281	0.1158507435
282	0.1152434127
283	0.114737063
284	0.1143636384
285	0.1140367177
286	0.1134656942
287	0.1132800362
288	0.1129482384
289	0.112576702
290	0.1125022252
291	0.1122066769
292	0.111978851
293	0.1117417408
294	0.111394449
295	0.1110975335
296	0.110951095
297	0.1106786156
298	0.1105750392
299	0.110321964
300	0.1097719799
301	0.1094578983
302	0.1090775126
303	0.1085534373
304	0.1082482508
305	0.1075559608
306	0.1070640514
307	0.1069596955
308	0.1066394752
309	0.106427172
310	0.1058666069
311	0.1052004542
312	0.105078792
313	0.1047001609
314	0.103989028
315	0.1034783836
316	0.1027822989
317	0.102463751
318	0.1021072031
319	0.1017679994
320	0.1013515905
321	0.1007551375
322	0.1003078207
323	0.09999284628
324	0.09965708388
325	0.09950555735
326	0.09908617135
327	0.09859070882
328	0.09812209244
329	0.09764518203
330	0.09763376458
331	0.0971805061
332	0.09705387687
333	0.09665389836
334	0.09618704606
335	0.09557815212
336	0.09510828406
337	0.09477858544
338	0.09447157168
339	0.09422311218
340	0.09401447737
341	0.09378600564
342	0.09354387111
343	0.09273534393
344	0.09265042741
345	0.09252696929
346	0.09205557262
347	0.0918265184
348	0.09162625735
349	0.09108084124
350	0.09077556797
351	0.09062765417
352	0.0903447439
353	0.08997783664
354	0.08975989162
355	0.08940857986
356	0.08912513028
357	0.08901236996
358	0.08881637191
359	0.08874782559
360	0.0886941057
361	0.0884026206
362	0.08812226931
363	0.08787008385
364	0.08754175141
365	0.08741884295
366	0.08694203318
367	0.08659681621
368	0.08647987376
369	0.08622568308
370	0.08593337388
371	0.08575964783
372	0.08512315996
373	0.08485792813
374	0.08453623161
375	0.08428241361
376	0.0840746362
377	0.08383157185
378	0.08372753388
379	0.08342696223
380	0.08307208089
381	0.08289627373
382	0.08244933024
383	0.08189700261
384	0.08173299536
385	0.08166393256
386	0.08130390362
387	0.08103565709
388	0.08071492833
389	0.08066693947
390	0.08060260904
391	0.08039004881
392	0.08018399105
393	0.08014331902
394	0.07973357409
395	0.07964889305
396	0.07950235207
397	0.07928315524
398	0.07901702372
399	0.07867412927
400	0.07861793707
401	0.07840729763
402	0.07801386513
403	0.07749363364
404	0.07715881069
405	0.0768934896
406	0.07655961649
407	0.07618713519
408	0.07587622908
409	0.07574548792
410	0.07566306209
411	0.07542613878
412	0.07511290452
413	0.07498485791
414	0.07483103145
415	0.07437291516
416	0.07434830311
417	0.0738792731
418	0.07344072379
419	0.0731259669
420	0.07288173261
421	0.07253670674
422	0.0723577677
423	0.07221208241
424	0.07203027395
425	0.0716703792
426	0.07156786223
427	0.0715457339
428	0.0712315139
429	0.07093426812
430	0.07075976672
431	0.07055084178
432	0.07033906202
433	0.0700869043
434	0.06963745076
435	0.06954315722
436	0.06931445042
437	0.06917584487
438	0.0691417623
439	0.06908238988
440	0.06906662843
441	0.06887951352
442	0.06881125271
443	0.06867324509
444	0.06865302618
445	0.06857845745
446	0.06825862622
447	0.06808474577
448	0.0677985524
449	0.06768055543
450	0.06753385298
451	0.0674663923
452	0.06722492265
453	0.0671617214
454	0.06703738171
455	0.06685379492
456	0.06679570599
457	0.06657318952
458	0.06633033034
459	0.06594626465
460	0.06569836352
461	0.06558533134
462	0.06541560857
463	0.06541228781
464	0.06529082909
465	0.0651351165
466	0.06507191096
467	0.06480736251
468	0.06469071904
469	0.06455034348
470	0.06427788372
471	0.06387979393
472	0.06370024094
473	0.06346243332
474	0.0633349543
475	0.06324228563
476	0.06301423602
477	0.06279975051
478	0.06271830341
479	0.06266136044
480	0.06239022212
481	0.06221190214
482	0.06220258566
483	0.06197126407
484	0.06182843648
485	0.061675318
486	0.06146390781
487	0.06130359986
